City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
bluff,-46.6,168.3333,13.86,61,0,10.13,NZ,1612405408
rikitea,-23.1203,-134.9692,25.53,72,1,6.21,PF,1612405648
hobart,-42.8794,147.3294,22.78,64,20,3.09,AU,1612405649
punta arenas,-53.15,-70.9167,15,77,0,6.17,CL,1612405653
jamestown,42.097,-79.2353,-5.56,93,1,4.63,US,1612405415
lorengau,-2.0226,147.2712,28.54,70,100,1.52,PG,1612405656
qaanaaq,77.484,-69.3632,-30.01,64,0,2.2,GL,1612405657
busselton,-33.65,115.3333,19.44,52,0,0.89,AU,1612405411
srednekolymsk,67.45,153.6833,-27.66,87,32,1.83,RU,1612405660
hermanus,-34.4187,19.2345,16.11,92,70,1.98,ZA,1612405662
sexsmith,55.35,-118.786,-23,84,40,2.57,CA,1612405664
carnarvon,-24.8667,113.6333,28,100,90,12.86,AU,1612405462
laguna,38.421,-121.4238,12,66,90,1.54,US,1612405669
cherskiy,68.75,161.3,-14.61,79,44,3.98,RU,1612405670
airai,-8.9266,125.4092,16.93,100,100,1.47,TL,1612405407
mitsamiouli,-11.3847,43.2844,27.83,70,93,1.79,KM,1612405484
ayan,56.45,138.1667,-29.54,71,95,6.54,RU,1612405677
roma,43.2128,-75.4557,-2.78,74,90,3.85,US,1612405254
alotenango,14.4803,-90.8075,17.22,72,0,7.2,GT,1612405680
halifax,44.6453,-63.5724,4.44,100,100,2.06,CA,1612405682
kapaa,22.0752,-159.319,24,50,20,4.63,US,1612405685
bonavista,48.6499,-53.1147,7.78,100,100,2.06,CA,1612405686
tuktoyaktuk,69.4541,-133.0374,-41,74,1,3.09,CA,1612405511
provideniya,64.3833,-173.3,-21.76,82,69,6.48,RU,1612405690
gizo,-8.103,156.8419,28.33,80,100,7.22,SB,1612405691
bengkulu,-3.8004,102.2655,28.04,68,63,1.54,ID,1612405693
albany,42.6001,-73.9662,-2.22,63,66,4.47,US,1612405590
bredasdorp,-34.5322,20.0403,17,82,94,1.03,ZA,1612405696
hilo,19.7297,-155.09,26,57,75,4.63,US,1612405668
bolshoye selo,57.7177,38.9334,-5.83,98,100,2.77,RU,1612405699
hasaki,35.7333,140.8333,10,43,20,7.72,JP,1612405701
fairbanks,64.8378,-147.7164,-21,77,90,1.54,US,1612405702
khasan,42.4308,130.6434,-11.14,77,0,9.83,RU,1612405704
porto novo,6.4965,2.6036,28,89,40,5.14,BJ,1612405706
bilibino,68.0546,166.4372,-21.41,77,94,4.22,RU,1612405707
hofn,64.2539,-15.2082,-0.15,91,39,6.38,IS,1612405709
vaini,-21.2,-175.2,29,84,75,3.6,TO,1612405420
banda aceh,5.5577,95.3222,27.07,74,1,6.57,ID,1612405677
mahebourg,-20.4081,57.7,25,88,40,1.03,MU,1612405424
tadine,-21.55,167.8833,27.53,78,23,8.54,NC,1612405715
hamilton,39.1834,-84.5333,-2.78,86,1,0.6,US,1612405532
puerto ayora,-0.7393,-90.3518,24.44,95,19,3.7,EC,1612405718
ponta do sol,32.6667,-17.1,11.67,66,48,1.34,PT,1612405720
flinders,-34.5833,150.8552,28.89,64,2,2.24,AU,1612405722
port elizabeth,-33.918,25.5701,20,88,0,4.12,ZA,1612405723
ushuaia,-54.8,-68.3,11,62,75,3.09,AR,1612405584
fortuna,40.5982,-124.1573,8.33,87,1,3.01,US,1612405726
vanavara,60.34,102.2797,-26.47,88,99,1.43,RU,1612405730
port alfred,-33.5906,26.891,20.56,91,31,0.89,ZA,1612405731
barrow,71.2906,-156.7887,-32,68,40,7.2,US,1612405733
san vicente,-26.6167,-54.1333,21.42,98,100,1.03,AR,1612405734
manhattan,40.7834,-73.9662,0.56,59,90,5.18,US,1612405608
plauen,50.5,12.1333,6.67,89,100,1.34,DE,1612405739
gubbi,13.3106,76.9444,17.73,63,99,2.21,IN,1612405741
yellowknife,62.456,-114.3525,-27.78,76,90,4.12,CA,1612405624
belle fourche,44.6714,-103.8522,-1.11,86,90,6.17,US,1612405744
los llanos de aridane,28.6585,-17.9182,17,88,90,1.03,ES,1612405746
sibiti,-3.6819,13.3499,20.79,99,95,0.21,CG,1612405747
porbandar,21.6422,69.6093,17,94,40,4.12,IN,1612405749
dikson,73.5069,80.5464,-24.66,91,86,5.11,RU,1612405750
east london,-33.0153,27.9116,22.67,84,46,7.43,ZA,1612405752
sinfra,6.6167,-5.9167,24,88,43,2.06,CI,1612405754
santa rosalia,27.3167,-112.2833,20.62,37,100,1.51,MX,1612405755
tuatapere,-46.1333,167.6833,18.73,44,0,4.18,NZ,1612405757
hithadhoo,-0.6,73.0833,28.17,73,90,3.98,MV,1612405760
